protein_id,length,A_frac,G_frac,V_frac,L_frac,target_label
NP_414542.1,21,0.0476190476190476,0.1428571428571428,0.0,0.0,0
NP_414543.1,820,0.1109756097560975,0.0768292682926829,0.0841463414634146,0.1085365853658536,0
NP_414544.1,310,0.1193548387096774,0.0870967741935483,0.0741935483870967,0.1,1
NP_414545.1,428,0.1098130841121495,0.0654205607476635,0.0630841121495327,0.1261682242990654,1
NP_414546.1,98,0.0714285714285714,0.1122448979591836,0.0510204081632653,0.0714285714285714,0
NP_414547.1,258,0.0736434108527131,0.0542635658914728,0.0271317829457364,0.1201550387596899,1
NP_414548.1,476,0.1176470588235294,0.0945378151260504,0.0693277310924369,0.111344537815126,1
NP_414549.1,317,0.1230283911671924,0.0536277602523659,0.0504731861198738,0.1041009463722397,1
NP_414550.1,195,0.082051282051282,0.0717948717948717,0.0923076923076923,0.1025641025641025,1
NP_414551.1,188,0.1063829787234042,0.1436170212765957,0.0478723404255319,0.1648936170212765,1
NP_414552.1,237,0.080168776371308,0.0717299578059071,0.0590717299578059,0.1645569620253164,1
NP_414554.1,134,0.0970149253731343,0.044776119402985,0.044776119402985,0.0970149253731343,1
NP_414555.1,638,0.109717868338558,0.073667711598746,0.073667711598746,0.0752351097178683,0
NP_414556.1,376,0.0718085106382978,0.1409574468085106,0.0664893617021276,0.0611702127659574,1
NP_414557.1,370,0.1297297297297297,0.0783783783783783,0.0378378378378378,0.127027027027027,1
NP_414559.1,69,0.1159420289855072,0.0144927536231884,0.144927536231884,0.072463768115942,0
NP_414560.1,388,0.1262886597938144,0.0927835051546391,0.0824742268041237,0.1649484536082474,1
NP_414561.1,301,0.0764119601328903,0.0598006644518272,0.0697674418604651,0.1096345514950166,1
NP_414562.1,167,0.0359281437125748,0.0658682634730539,0.0718562874251497,0.1077844311377245,1
NP_414563.1,91,0.0769230769230769,0.0989010989010989,0.0549450549450549,0.0549450549450549,0
NP_414564.1,87,0.2183908045977011,0.0229885057471264,0.0229885057471264,0.0344827586206896,0
NP_414565.1,72,0.1111111111111111,0.0972222222222222,0.0416666666666666,0.125,0
NP_414566.1,313,0.0894568690095846,0.0926517571884984,0.0830670926517571,0.134185303514377,1
NP_414567.1,938,0.0980810234541577,0.079957356076759,0.0788912579957356,0.0820895522388059,0
NP_414568.1,164,0.1097560975609756,0.0914634146341463,0.073170731707317,0.1341463414634146,1
NP_414569.1,149,0.0805369127516778,0.087248322147651,0.0604026845637583,0.1073825503355704,1
NP_414570.1,316,0.0949367088607595,0.0696202531645569,0.1170886075949367,0.0727848101265822,1
NP_414571.1,304,0.1282894736842105,0.0723684210526315,0.0789473684210526,0.1184210526315789,1
NP_414572.1,273,0.1465201465201465,0.1172161172161172,0.0695970695970696,0.0879120879120879,1
NP_414573.1,382,0.1020942408376963,0.0863874345549738,0.0602094240837696,0.094240837696335,1
NP_414574.1,1073,0.1043802423112768,0.0773532152842497,0.0876048462255358,0.0773532152842497,0
NP_414576.4,131,0.0458015267175572,0.0305343511450381,0.0839694656488549,0.0916030534351145,1
NP_414577.2,196,0.0765306122448979,0.1224489795918367,0.096938775510204,0.0816326530612244,1
NP_414578.2,261,0.1379310344827586,0.0881226053639846,0.0651340996168582,0.0957854406130268,1
NP_414579.4,517,0.0793036750483558,0.0657640232108317,0.0599613152804642,0.081237911025145,1
NP_414580.1,405,0.091358024691358,0.0888888888888888,0.0469135802469135,0.0814814814814814,1
NP_414581.1,380,0.0947368421052631,0.0921052631578947,0.0605263157894736,0.0763157894736842,1
NP_414582.1,504,0.0793650793650793,0.0773809523809523,0.0793650793650793,0.115079365079365,1
NP_414583.2,256,0.15234375,0.05859375,0.078125,0.0859375,1
NP_414584.1,313,0.1437699680511182,0.0798722044728434,0.0766773162939297,0.0862619808306709,1
NP_414585.1,428,0.1121495327102803,0.1051401869158878,0.0817757009345794,0.1074766355140186,1
NP_414586.1,95,0.0736842105263157,0.1052631578947368,0.1052631578947368,0.0947368421052631,0
NP_414587.1,443,0.0812641083521444,0.1038374717832957,0.0722347629796839,0.1241534988713318,1
NP_414588.1,176,0.0909090909090909,0.0795454545454545,0.0284090909090909,0.1136363636363636,1
NP_414589.1,620,0.1129032258064516,0.0838709677419354,0.0725806451612903,0.1532258064516129,0
NP_414590.1,159,0.0817610062893081,0.0628930817610062,0.0691823899371069,0.0691823899371069,1
NP_414591.1,280,0.0857142857142857,0.0821428571428571,0.0464285714285714,0.1321428571428571,1
NP_414592.1,125,0.048,0.096,0.104,0.064,1
NP_414593.1,273,0.0879120879120879,0.0549450549450549,0.0879120879120879,0.0989010989010989,1
NP_414594.1,329,0.1124620060790273,0.0911854103343465,0.0820668693009118,0.1306990881458966,1
NP_414595.1,428,0.1121495327102803,0.0607476635514018,0.058411214953271,0.0864485981308411,1
NP_414596.1,784,0.0625,0.0688775510204081,0.0637755102040816,0.0688775510204081,0
NP_414597.1,271,0.1033210332103321,0.0996309963099631,0.047970479704797,0.081180811808118,1
NP_414600.1,219,0.091324200913242,0.0502283105022831,0.0821917808219178,0.091324200913242,1
NP_414601.1,968,0.0878099173553719,0.0557851239669421,0.0599173553719008,0.1208677685950413,0
NP_414602.1,783,0.0715197956577266,0.0727969348659003,0.0561941251596424,0.1034482758620689,0
NP_414603.1,231,0.0909090909090909,0.0822510822510822,0.0909090909090909,0.0692640692640692,1
NP_414604.1,500,0.086,0.078,0.07,0.096,1
NP_414605.1,566,0.1395759717314487,0.0759717314487632,0.0689045936395759,0.0865724381625441,1
NP_414606.1,292,0.071917808219178,0.071917808219178,0.0513698630136986,0.1061643835616438,1
NP_414607.1,254,0.0826771653543307,0.0944881889763779,0.0826771653543307,0.1771653543307086,1
NP_414608.1,232,0.0905172413793103,0.0862068965517241,0.0603448275862069,0.1551724137931034,1
NP_414609.1,536,0.1119402985074626,0.0615671641791044,0.0764925373134328,0.1921641791044776,1
NP_414610.1,327,0.1162079510703364,0.0581039755351682,0.0825688073394495,0.1131498470948012,1
NP_414611.1,551,0.0671506352087114,0.0544464609800363,0.043557168784029,0.1306715063520871,1
NP_414613.1,201,0.1094527363184079,0.0646766169154228,0.0597014925373134,0.0895522388059701,1
NP_414614.1,466,0.1180257510729613,0.1008583690987124,0.075107296137339,0.0643776824034334,1
NP_414615.4,363,0.1184573002754821,0.0881542699724518,0.0495867768595041,0.0964187327823691,1
NP_414616.1,523,0.1166347992351816,0.0669216061185468,0.0879541108986615,0.0688336520076481,1
NP_414617.1,28,0.0357142857142857,0.1071428571428571,0.0714285714285714,0.1785714285714285,0
NP_414618.4,314,0.0796178343949044,0.0318471337579617,0.0859872611464968,0.1019108280254777,1
NP_414620.1,163,0.0552147239263803,0.0858895705521472,0.1104294478527607,0.1104294478527607,1
